Nationality_1,Refusal_1,Nationality_2,Refusal_2
LAOS,82.84,UNITED ARAB EMIRATES,1.46
LIBERIA,79.38,CYPRUS,2.16
SOMALIA,77.02,ROMANIA,2.61
GUINEA-BISSAU,76.59,URUGUAY,2.63
SENEGAL,74.65,PAPUA NEW GUINEA,3.85
GUINEA,70.25,BRUNEI,4
MAURITANIA,70.07,OMAN,4.5
SIERRA LEONE,69.36,QATAR,4.67
TOGO,66.6,SOLOMON ISLANDS,5
GAMBIA,66.03,TAIWAN,5.22
BURUNDI,65.52,SWITZERLAND,5.39
DJIBOUTI,64.71,KUWAIT,5.5
UZBEKISTAN,64.41,JAPAN,5.76
PALAU,63.64,ICELAND,5.8
KENYA,63.32,HUNGARY,5.93
MARSHALL ISLANDS,63.16,BULGARIA,6.02
BURMA,62.58,HONG KONG S. A. R.,6.16
BENIN,61.49,TIMOR-LESTE,6.25
MALI,60.9,MAURITIUS,6.27
SOUTH SUDAN,60.35,MALAYSIA,6.79
